"id","title","description","manufacturer","price"
"b000jz4hqo","clickart 950 000 - premier image pack (dvd-rom)","","broderbund","0.0"
"b0006zf55o","ca international - arcserve lap/desktop oem 30pk","oem arcserve backup v11.1 win 30u laptop desktop","computer associate","0.0"
"b00004tkvy","noah's ark activity center (jewel case age 3-8)","","victory multimedia","0.0"
"b000g80lqo","peachtree sage premium accounting nonprofit 2007","peachtree premium accounting nonprofit 2007 affordable easy use accounting solution provides donor/grantor management. like nonprofit organization constantly striving maximize every dollar annual operating budget. financial reporting program fund advanced operational reporting rock-solid core accounting feature made peachtree choice hundred thousand small businesses. result accounting solution tailor-made challenge operating nonprofit organization. keep audit trail record report change made transaction improve data integrity prior period locking archive organization's data snap shot data closed year set individual user profile password protection peachtree restore wizard restores backed-up data file plus web transaction customized form includes standard accounting feature - general ledger account receivable &accounts payable; payroll solutions; time & billing job costing; fixed assets; analysis reporting & customization easily convert quickbooks","sage software","599.99"
"b0006se5bq","singing coach unlimited","singing coach unlimited - electronic learning product (win nt 2000 xp)","carry-a-tune technology","99.99"
"b000ehpzv8","emc retrospect 7.5 disk disk window","emc retrospect 7.5 disk diskcromwindows","dantz","0.0"
"b00021xhzw","adobe effect professional 6.5 upgrade standard professional","upgrade only; installation effect standard new disk caching tool speed interactive work save combination animation parameter presets -- create transformation mask expression effect text tighter integration adobe tool - import photoshop c illustrator c file preserved layer attribute output firewire easier previewing ntsc pal video monitor","adobe","499.99"
"b000gzwjgc","acad upgrade dragon naturallyspeaking pro solution 9.0 (a289a-fd7-9.0)","- marketing information: dragon naturallyspeakingprofessional 9 saveyou organizationmoney itempowers anyone tocreate document overthree time faster thantyping. also protectsagainst repetitive stressinjuries result lostproductivity higher worker compensationpremiums higher temporary labor costs.the accuracy performance ease-of-use indragon naturallyspeaking professional 9make ideal solution busy corporateprofessionals. employee canuse dragon naturallyspeaking professionalto create document email message write report complete form voice. product information - software sub type: voice recognition - software name: dragon naturallyspeaking v.9.0 professional - upgrade - feature benefits: - accurate ever - faster safer typing - section 508 certified - easy use - special user training required - support citrix thin-client environment - enterprise ready - ease administration - mobility - bluetooth support - robust customization - natural language capability - text speech - language support: english - platform support: pc miscellaneous - compatibility: - microsoft office applications: word excel outlook andpowerpoint - corel wordperfect","nuance academic","399.54"
"b0000dbykm","mia's math adventure: time","mia's math adventure: time child help mia save house using math skills!","kutoka","19.99"
"b00029bqa2","disney's 1st & 2nd grade bundle (pixar 1st grade secret key aladdin reading quest)","disney's 1st & 2nd grade bundle help child learn challenging imagination. skill-building activity develop love education child. feature disney/pixar buzz lightyear learning 1st grade aladdin reading quest disney's search secret keys.","disney","14.99"
"b0007prnjo","paper art: gift wrapping","many time heard thought count especially true come giftseven simple gift thoughtfully presented bring special joy recipient well giver. cd beautiful guide gift wrapping. need know paper fabric different tool special effect basic advanced technique box cylinder basket bag system requirement window window 98 2000 xp 386 faster 8 mb ram 640x480 monitor 256 color (16-bit color better recommended) soundblaster-compatible sound card & speaker 2x cd-rom drive system requirement macintosh mac o 7.09.2 o x classic mode 8 mb ram 640x480 monitor 256 color (thousands color better recommended) 2x cd-rom drive","arc medium inc.","0.0"
"b000aazr5i","nfs maestro solo 2006 1u","- marketing information: nfs maestro solo de facto standard network file system protocol pc support latest nfs technology including nfsv4 nfs tcp webnfs. advanced nfs feature strong security seamless integration window operating system comprehensive support enterprise directory service make nfs maestro solo advanced secured pc nfs client. also provides bi-directional file printer access window nfs-enabled hosts. product information - software sub type: emulation - software name: nfs maestro solo 2006 - complete product - feature benefits: - support operation ipv6 networking - new unicode support - support setuid setgid - connection-specific rpcsec_gss type service - symbolic link creation nfs support: - support nfs version 2 3 4 (rfc 1094 rfc1813 rfc3530) - client server implementation - kernel mode implementation - native 32-bit 64-bit implementation - support operation ipv6 network - support setuid setgid - support webnfs (rfc2054) nfs tcp - support 32-bit file locking - hard soft mount - support microsoft unc - unlimited remote drive printer - cache manager - device-less connection support - creates support symbolic link - nfsv4 compatible command line application directory service support: - support ni nis+ ldap microsoft active directory - support sc","hummingbird communication","309.56"
"b000bhl1r8","microsoft sql server standard edition 2005 64 bit cd/dvd 5 client","sql server comprehensive integrated end-to-end data solution empowers user across organization providing secure reliable productive platform enterprise data business intelligence (bi) applications. sql server 2005 delivers powerful familiar tool information technology professional well information worker reducing complexity creating deploying managing using enterprise data analytical application platform ranging mobile device enterprise data systems. comprehensive feature set interoperability existing system automation routine task sql server 2005 provides complete data solution enterprise sizes.","microsoft","1849.0"
"b000i82j80","spy sweeper spanish","","webroot software","29.95"
"b00006hmwc","domino designer/developer v5.0","reference domino designer/developer r5 doc pack includes following titles: application development domino designer (intermediate-advanced) 536 page explains building application creating database using form field view folder navi","lotus development","95.0"
"b000in6u62","omnioutliner professional 3.0","","csdc","69.95"
"b000083k56","compaq comp. secure path v3.0c-netware wrkgrp 50 lic ( 231327-b22 )","","compaq computer","0.0"
